"local/unknown",2013-08-25T20:40:33+02:00,7,"sqli id lfi","POST.query=admin%27and","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:40:34+02:00,7,"sqli id lfi","POST.query=admin%27and","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:40:38+02:00,7,"sqli id lfi","POST.query=admin%27and%201%3D","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:40:40+02:00,13,"sqli id lfi","POST.query=admin%27and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:40:43+02:00,13,"sqli id lfi","POST.query=admin%27%20and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:40:51+02:00,5,"xss csrf","POST.query=admin%20%20and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:40:51+02:00,5,"xss csrf","POST.query=admin%20%20and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:40:52+02:00,5,"xss csrf","POST.query=admin%20%20and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:40:53+02:00,5,"xss csrf","POST.query=admin%20%20and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:40:53+02:00,5,"xss csrf","POST.query=admin%20%20and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:41:00+02:00,5,"xss csrf","POST.query=admin%20%20and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:44:38+02:00,5,"xss csrf","POST.query=admin%20%20and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:45:15+02:00,5,"xss csrf","POST.query=admin%20%20and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:46:06+02:00,5,"xss csrf","POST.query=admin%20%20and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:46:13+02:00,5,"xss csrf","POST.query=admin%20%20and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:48:03+02:00,5,"xss csrf","POST.query=admin%20%20and%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-25T20:49:56+02:00,5,"xss csrf","POST.query=admin%20or%201%3D1","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
